company_name,letter_date,application_number,product_type,file_name,ticker,market_reaction_date,announcement_time,market_cap_group,alive_ticker,keep_for_v2,exclude_reason,verification_notes
"Astellas Pharma US, Inc.",01/04/2024,BLA 761365,COMPLETE RESPONSE,761365_2024_Orig1s000OtherActionLtrs.pdf,,,,,,,,
Gan & Lee Pharmaceuticals,03/26/2024,BLA 761357,COMPLETE RESPONSE,CRL_BLA761357_20240326.pdf,,,,,,,,
CSL Behring LLC,10/07/2024,BLA 761367,COMPLETE RESPONSE,761367Orig1s000OtherActionLtrs.pdf,,,,,,,,
"Regeneron Pharmaceuticals, Inc.",03/22/2024,BLA 761303/Original 1,COMPLETE RESPONSE,CRL_BLA761303Original1_20240322.pdf,,,,,,,,
Novo Nordisk Inc.,07/10/2024,BLA 761326,COMPLETE RESPONSE,CRL_BLA761326_20240710.pdf,,,,,,,,
BendaRx USA Corporation,01/17/2024,NDA 215291,COMPLETE RESPONSE,CRL_NDA215291_20240117.pdf,,,,,,,,
"CELLTRION, Inc.",12/17/2024,BLA 761338/Original 2,PROVISIONAL DETERMINATION,761338Orig1Orig2s000OtherActionLtrs.pdf,,,,,,,,
Gan & Lee Pharmaceuticals,04/12/2024,BLA 761356,COMPLETE RESPONSE,CRL_BLA761356_20240412.pdf,,,,,,,,
"Janssen Biotech, Inc.",12/13/2024,BLA 761433,COMPLETE RESPONSE,CRL_BLA761433_20241213.pdf,,,,,,,,
XTM Consulting LLC,06/12/2024,NDA 218698,COMPLETE RESPONSE,CRL_NDA218698_20240612.pdf,,,,,,,,
Hikma Pharmaceuticals USA Inc.,12/23/2024,NDA 219357,COMPLETE RESPONSE,CRL_NDA219357_20241223.pdf,,,,,,,,
Mapi Pharma Ltd.,03/08/2024,NDA 218223,COMPLETE RESPONSE,CRL_NDA218223_20240308.pdf,,,,,,,,
"Abeona Therapeutics, Inc.",04/16/2024,BL 125807,COMPLETE RESPONSE,CRL_BLA125807_20240416.pdf,,,,,,,,
"Astellas Pharma US, Inc",11/15/2024,NDA 217225/S-001,COMPLETE RESPONSE,217225-s001_OtherActionLtrs.pdf,,,,,,,,
"Regeneron Pharmaceuticals, Inc.",03/22/2024,BLA 761303/Original 2,COMPLETE RESPONSE,CRL_BLA761303Original2_20240322.pdf,,,,,,,,
Lykos Therapeutics,08/08/2024,NDA 215455,COMPLETE RESPONSE,CRL_NDA215455_20240808.pdf,,,,,,,,
"Samsung Bioepis Co., Ltd.",07/04/2024,BLA 761373/Original 2,CORRECTED PROVISIONAL DETERMINATION,761373Orig2s000_761425Orig2s000OtherActionLtrs.pdf,,,,,,,,
"Antares Pharma, Inc.",08/16/2024,NDA 218026,COMPLETE RESPONSE,CRL_NDA218026_20240816.pdf,,,,,,,,
Accord Healthcare Inc.,04/17/2024,NDA 218762,COMPLETE RESPONSE,CRL_NDA218762_20240417.pdf,,,,,,,,
"CELLTRION, Inc.",06/27/2024,BLA 761377,COMPLETE RESPONSE,CRL_BLA761377_20240627.pdf,,,,,,,,
Accord Healthcare Inc.,12/05/2024,NDA 218762,COMPLETE RESPONSE,CRL_NDA218762_20241205.pdf,,,,,,,,
"Fresenius Kabi USA, LLC",12/11/2024,NDA 214610,COMPLETE RESPONSE,CRL_NDA214610_20241211.pdf,,,,,,,,
Bayer HealthCare LLC,06/13/2024,NDA 218506,COMPLETE RESPONSE,CRL_NDA218506_20240613.pdf,,,,,,,,
"Cipla USA, Inc.",03/22/2024,NDA 210168,COMPLETE RESPONSE,CRL_NDA210168_20240322.pdf,,,,,,,,
AbbVie Inc.,06/18/2024,NDA 216962,COMPLETE RESPONSE,216962_2025_Orig1s000OtherActionLtrs.pdf,,,,,,,,
"Bridge Regulatory Affairs, LLC",10/21/2024,NDA 218600,COMPLETE RESPONSE,CRL_NDA218600_20241021.pdf,,,,,,,,
"Rocket Pharmaceuticals, Inc.",06/14/2024,BL 125806,COMPLETE RESPONSE,CRL_BLA125806_20240614.pdf,,,,,,,,
Accord Healthcare Inc.,03/07/2024,NDA 215749,COMPLETE RESPONSE,CRL_NDA215749_20240307.pdf,,,,,,,,
"SQ Innovation, Inc.",01/12/2024,NDA 217294,COMPLETE RESPONSE,CRL_NDA217294_20240112.pdf,,,,,,,,
"Xeris Pharmaceuticals, Inc.",02/09/2024,NDA 212097/S-012,COMPLETE RESPONSE,212097-s012_OtherActionLtrs.pdf,,,,,,,,
