ticker,company,drug_name,event_date,announcement_time,decision_type,event_direction,market_cap_group,source_url,ticker_verified,event_date_verified,company_drug_match_verified,source_verified,keep_for_v1,exclude_reason,market_reaction_date,market_reaction_note,verification_notes
GERN,Geron,Rytelo (imetelstat),2024-06-06,after_hours,APPROVAL,POSITIVE,small,https://www.businesswire.com/news/home/20240606850162/en/Geron-Announces-FDA-Approval-of-RYTELO-imetelstat-a-First-in-Class-Telomerase-Inhibitor-for-the-Treatment-of-Adult-Patients-with-Lower-Risk-MDS-with-Transfusion-Dependent-Anemia,yes,yes,yes,yes,yes,,2024-06-07,After-hours announcement at 9:58 PM EDT; reaction assigned to next trading day.,
MDGL,Madrigal Pharmaceuticals,Rezdiffra (resmetirom),2024-03-14,after_hours,APPROVAL,POSITIVE,mid,https://www.globenewswire.com/news-release/2024/03/14/2846708/0/en/madrigal-pharmaceuticals-announces-fda-approval-of-rezdiffra-resmetirom-for-the-treatment-of-patients-with-noncirrhotic-nonalcoholic-steatohepatitis-nash-with-moderate-to-advanced-.html,yes,yes,yes,yes,yes,,2024-03-15,After-hours announcement at 4:15 PM EDT; reaction assigned to next trading day.,"GlobeNewswire press release matched FDA approval date, company, drug, and announcement timing."
VRNA,Verona Pharma,Ohtuvayre (ensifentrine),2024-06-26,after_hours,APPROVAL,POSITIVE,small,https://www.globenewswire.com/news-release/2024/06/26/2904839/0/en/verona-pharma-announces-us-fda-approval-of-ohtuvayre-ensifentrine.html,yes,yes,yes,yes,yes,,2024-06-27,After-hours announcement at 4:57 PM EDT; reaction assigned to next trading day.,"GlobeNewswire and company press release matched FDA approval date, company, drug, and announcement timing."
DAWN,Day One Biopharmaceuticals,Ojemda (tovorafenib),2024-04-23,market_hours,APPROVAL,POSITIVE,small,https://www.globenewswire.com/news-release/2024/04/23/2868089/0/en/day-one-s-ojemda-tovorafenib-receives-us-fda-accelerated-approval-for-relapsed-or-refractory-braf-altered-pediatric-low-grade-glioma-plgg-the-most-common-form-of-childhood-brain-tu.html,yes,yes,yes,yes,yes,,2024-04-23,Market-hours announcement at 3:56 PM EDT; reaction assigned to same trading day.,"GlobeNewswire and Day One investor relations source matched FDA approval date, company, drug, and announcement timing."
XFOR,X4 Pharmaceuticals,Xolremdi (mavorixafor),2024-04-26,pre_market,APPROVAL,POSITIVE,small,https://www.globenewswire.com/news-release/2024/04/29/2871050/0/en/x4-pharmaceuticals-announces-fda-approval-of-xolremdi-mavorixafor-capsules-first-drug-indicated-in-patients-with-whim-syndrome.html,yes,yes,yes,yes,yes,,2024-04-29,Pre-market announcement at 6:30 AM EDT on 2024-04-29; reaction assigned to same trading day.,"FDA approval date was 2024-04-26, but company press release was issued pre-market on 2024-04-29 after the weekend; market reaction assigned to 2024-04-29."
IONS,Ionis Pharmaceuticals,Tryngolza (olezarsen),2024-12-19,after_hours,APPROVAL,POSITIVE,mid,https://ir.ionis.com/news-releases/news-release-details/tryngolzatm-olezarsen-approved-us-first-ever-treatment-adults,yes,yes,yes,yes,yes,,2024-12-20,After-hours announcement at 4:01 PM EDT on 2024-12-19; reaction assigned to next trading day.,"Ionis press release matched FDA approval date, company, drug, and announcement timing."
BBIO,BridgeBio Pharma,Attruby (acoramidis),2024-11-22,after_hours,APPROVAL,POSITIVE,mid,https://investor.bridgebio.com/news/news-details/2024/attruby-acoramidis-a-near-complete-ttr-stabilizer-90-approved-by-fda-to-reduce-cardiovascular-death-and-cardiovascular-related-hospitalization-in-attr-cm-patients-11-22-2024/default.aspx,yes,yes,yes,yes,yes,,2024-11-25,After-hours announcement at 7:12 PM EDT on 2024-11-22; reaction assigned to next trading day.,"GlobeNewswire source matched FDA approval date, company, drug, and announcement timing."
CRNX,Crinetics Pharmaceuticals,Palsonify (paltusotine),2025-09-25,after_hours,APPROVAL,POSITIVE,small,https://www.globenewswire.com/news-release/2025/09/25/3156767/0/en/crinetics-announces-fda-approval-of-palsonify-paltusotine-for-the-treatment-of-adults-with-acromegaly.html,yes,yes, yes,yes,yes,,2025-09-26,After-hours announcement at 5:30 PM EDT on 2025-09-25; reaction assigned to next trading day.,"GlobeNewswire source matched FDA approval date, company, drug, and announcement timing."
CYTK,Cytokinetics,Myqorzo (aficamten),2025-12-19,after_hours,APPROVAL,POSITIVE,mid,https://www.globenewswire.com/news-release/2025/12/19/3208724/0/en/cytokinetics-announces-fda-approval-of-myqorzo-aficamten-for-the-treatment-of-adults-with-symptomatic-obstructive-hypertrophic-cardiomyopathy-to-improve-functional-capacity-and-sym.html,yes,yes,yes,yes,yes,,2025-12-22,Announcement released at 4:00 PM EDT on 2025-12-19; treated as after-hours/market-close announcement and reaction assigned to next trading day.,"GlobeNewswire source matched FDA approval date, company, drug, and announcement timing."
INSM,Insmed,Brinsupri (brensocatib),2025-08-12,pre_market,APPROVAL,POSITIVE,mid,"https://investor.insmed.com/2025-08-12-FDA-Approves-BRINSUPRI-TM-brensocatib-as-the-First-and-Only-Treatment-for-Non-Cystic-Fibrosis-Bronchiectasis,-a-Serious,-Chronic-Lung-Disease",yes,yes,yes,yes,yes,,2025-08-12,Pre-market announcement at 7:00 AM EDT on 2025-08-12; reaction assigned to same trading day.,"Insmed investor relations source matched FDA approval date, company, drug, and announcement timing."
